user_id,gender,age,stream,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6
1718,Female,25,Unknown,"Soft Skills for Engineers, Basics of Electrical and Electronics Engineering",Unknown,"Medical Imaging and Applications, Bioinformatics for Beginners","Medical Imaging and Applications, Bioinformatics for Beginners","Advanced Tissue Engineering, Gene Editing with CRISPR","Advanced Tissue Engineering, Gene Editing with CRISPR"
1720,Female,25,Civil Engineering,"Basics of Electrical and Electronics Engineering, Engineering Mathematics","Basics of Electrical and Electronics Engineering, Engineering Mathematics","Water Resource Management, GIS and Remote Sensing","Water Resource Management, GIS and Remote Sensing","Hydrology and Water Resource Engineering, Advanced Highway Engineering","Hydrology and Water Resource Engineering, Advanced Highway Engineering"
1721,Male,22,Civil Engineering,"Basics of Electrical and Electronics Engineering, Introduction to Computer-Aided Design (CAD)","Basics of Electrical and Electronics Engineering, Introduction to Computer-Aided Design (CAD)","GIS and Remote Sensing, Construction Planning and Management","GIS and Remote Sensing, Construction Planning and Management","Advanced Structural Engineering, Advanced Highway Engineering","Advanced Structural Engineering, Advanced Highway Engineering"
1722,Female,24,Unknown,"Introduction to Data Science, Introduction to Python Programming","Introduction to Data Science, Introduction to Python Programming","Introduction to BIM (Building Information Modeling), Surveying and Geomatics","Introduction to BIM (Building Information Modeling), Surveying and Geomatics","Geotechnical Engineering Advanced Concepts, Smart Transportation Systems","Geotechnical Engineering Advanced Concepts, Smart Transportation Systems"
1724,Female,23,Biotechnology/Biomedical Engineering,"Introduction to Computer-Aided Design (CAD), Engineering Mechanics","Introduction to Computer-Aided Design (CAD), Engineering Mechanics","Medical Imaging and Applications, Introduction to Genetic Engineering","Medical Imaging and Applications, Introduction to Genetic Engineering","Drug Delivery Systems, Drug Delivery Systems","Drug Delivery Systems, Drug Delivery Systems"
1725,Male,21,Civil Engineering,"Basics of Electrical and Electronics Engineering, Engineering Mathematics","Basics of Electrical and Electronics Engineering, Engineering Mathematics","Concrete Technology, Concrete Technology","Concrete Technology, Concrete Technology","Geotechnical Engineering Advanced Concepts, Sustainable Construction","Geotechnical Engineering Advanced Concepts, Sustainable Construction"
1726,Female,19,Chemical Engineering,"Introduction to Computer-Aided Design (CAD), Engineering Mechanics",Unknown,"Mass Transfer Basics, Chemical Process Simulation Using Aspen Plus","Mass Transfer Basics, Chemical Process Simulation Using Aspen Plus","Chemical Plant Safety Management, Advanced Thermodynamics","Chemical Plant Safety Management, Advanced Thermodynamics"
1727,Female,20,Chemical Engineering,"Basics of Electrical and Electronics Engineering, Soft Skills for Engineers","Basics of Electrical and Electronics Engineering, Soft Skills for Engineers","Industrial Safety and Hazard Management, Petroleum Refining Basics","Industrial Safety and Hazard Management, Petroleum Refining Basics","Nanotechnology in Chemical Engineering, Chemical Plant Safety Management","Nanotechnology in Chemical Engineering, Chemical Plant Safety Management"
1728,Female,24,Civil Engineering,"Engineering Mechanics, Engineering Mechanics","Engineering Mechanics, Engineering Mechanics","Introduction to BIM (Building Information Modeling), GIS and Remote Sensing","Introduction to BIM (Building Information Modeling), GIS and Remote Sensing","Hydrology and Water Resource Engineering, Sustainable Construction","Hydrology and Water Resource Engineering, Sustainable Construction"
1729,Male,21,Electronics and Communication Engineering (ECE),"Environmental Science and Sustainability, Engineering Mechanics","Environmental Science and Sustainability, Engineering Mechanics","Embedded Systems Basics, Microprocessors and Microcontrollers","Embedded Systems Basics, Microprocessors and Microcontrollers","Advanced VLSI Design, Radar Systems and Applications","Advanced VLSI Design, Radar Systems and Applications"
1730,Female,24,Computer Science and Engineering (CSE),"Soft Skills for Engineers, Introduction to Data Science","Soft Skills for Engineers, Introduction to Data Science","Version Control with Git and GitHub, Version Control with Git and GitHub","Version Control with Git and GitHub, Version Control with Git and GitHub","Deep Learning with TensorFlow, Blockchain Basics","Deep Learning with TensorFlow, Blockchain Basics"
1731,Female,22,Mechanical Engineering,"Environmental Science and Sustainability, Basics of Electrical and Electronics Engineering","Environmental Science and Sustainability, Basics of Electrical and Electronics Engineering","Kinematics of Machines, Kinematics of Machines","Kinematics of Machines, Kinematics of Machines","HVAC Systems Design, Introduction to Mechatronics","HVAC Systems Design, Introduction to Mechatronics"
1732,Female,24,Biotechnology/Biomedical Engineering,"Engineering Mechanics, Introduction to Data Science",Unknown,"Basics of Bioprocess Engineering, Introduction to Tissue Engineering","Basics of Bioprocess Engineering, Introduction to Tissue Engineering","Medical Devices and Diagnostics, Biomedical Signal Processing","Medical Devices and Diagnostics, Biomedical Signal Processing"
1733,Female,21,Mechanical Engineering,"Introduction to Python Programming, Introduction to Data Science","Introduction to Python Programming, Introduction to Data Science","Fluid Mechanics, Kinematics of Machines","Fluid Mechanics, Kinematics of Machines","Advanced Manufacturing Techniques, Introduction to Mechatronics","Advanced Manufacturing Techniques, Introduction to Mechatronics"
1734,Female,22,Civil Engineering,"Soft Skills for Engineers, Soft Skills for Engineers","Soft Skills for Engineers, Soft Skills for Engineers","Construction Planning and Management, GIS and Remote Sensing","Construction Planning and Management, GIS and Remote Sensing","Advanced Highway Engineering, Advanced Structural Engineering","Advanced Highway Engineering, Advanced Structural Engineering"
1735,Female,20,Aerospace Engineering,"Introduction to Python Programming, Basics of Electrical and Electronics Engineering","Introduction to Python Programming, Basics of Electrical and Electronics Engineering","Introduction to Aerospace Structures, Basics of Aerodynamics","Introduction to Aerospace Structures, Basics of Aerodynamics","Spacecraft Dynamics and Control, Spacecraft Dynamics and Control","Spacecraft Dynamics and Control, Spacecraft Dynamics and Control"
1736,Male,25,Unknown,"Environmental Science and Sustainability, Introduction to Python Programming","Environmental Science and Sustainability, Introduction to Python Programming","Data Structures and Algorithms, Object-Oriented Programming with Java","Data Structures and Algorithms, Object-Oriented Programming with Java","Cybersecurity and Ethical Hacking, DevOps Practices","Cybersecurity and Ethical Hacking, DevOps Practices"
1737,Female,25,Electronics and Communication Engineering (ECE),"Introduction to Computer-Aided Design (CAD), Introduction to Data Science","Introduction to Computer-Aided Design (CAD), Introduction to Data Science","Microprocessors and Microcontrollers, Digital Circuits and Systems","Microprocessors and Microcontrollers, Digital Circuits and Systems","Network-on-Chip Architecture, Embedded System Design with ARM Cortex","Network-on-Chip Architecture, Embedded System Design with ARM Cortex"
1738,Unknown,19,Computer Science and Engineering (CSE),"Engineering Mathematics, Basics of Electrical and Electronics Engineering","Engineering Mathematics, Basics of Electrical and Electronics Engineering","Introduction to Machine Learning, Web Development with HTML, CSS, and JavaScript","Introduction to Machine Learning, Web Development with HTML, CSS, and JavaScript","Artificial Intelligence Foundations, DevOps Practices","Artificial Intelligence Foundations, DevOps Practices"
1739,Unknown,19,Biotechnology/Biomedical Engineering,Unknown,"Environmental Science and Sustainability, Engineering Mathematics","Bioinformatics for Beginners, Biomedical Instrumentation","Bioinformatics for Beginners, Biomedical Instrumentation","Biomedical Signal Processing, Bioinformatics Applications in Genomics","Biomedical Signal Processing, Bioinformatics Applications in Genomics"
1741,Female,23,Electronics and Communication Engineering (ECE),Unknown,"Introduction to Data Science, Soft Skills for Engineers","Digital Circuits and Systems, Signals and Systems","Digital Circuits and Systems, Signals and Systems","Embedded System Design with ARM Cortex, IoT System Design","Embedded System Design with ARM Cortex, IoT System Design"
1742,Male,24,Biotechnology/Biomedical Engineering,"Engineering Mechanics, Soft Skills for Engineers","Engineering Mechanics, Soft Skills for Engineers","Medical Imaging and Applications, Introduction to Molecular Biology","Medical Imaging and Applications, Introduction to Molecular Biology","Advanced Tissue Engineering, Bioinformatics Applications in Genomics","Advanced Tissue Engineering, Bioinformatics Applications in Genomics"
1743,Male,20,Aerospace Engineering,"Engineering Mathematics, Engineering Mathematics","Engineering Mathematics, Engineering Mathematics","Introduction to Aerospace Structures, Satellite Communication Systems","Introduction to Aerospace Structures, Satellite Communication Systems","Aircraft Structures Design, Satellite System Engineering","Aircraft Structures Design, Satellite System Engineering"
1744,Male,25,Electronics and Communication Engineering (ECE),"Engineering Mathematics, Introduction to Computer-Aided Design (CAD)","Engineering Mathematics, Introduction to Computer-Aided Design (CAD)","MATLAB Programming for Engineers, Analog Electronics Fundamentals","MATLAB Programming for Engineers, Analog Electronics Fundamentals","Network-on-Chip Architecture, Embedded System Design with ARM Cortex","Network-on-Chip Architecture, Embedded System Design with ARM Cortex"
1745,Male,19,Aerospace Engineering,"Engineering Mechanics, Environmental Science and Sustainability","Engineering Mechanics, Environmental Science and Sustainability","Introduction to Aerospace Structures, Space Mission Design","Introduction to Aerospace Structures, Space Mission Design","Advanced Aerodynamics, Rocket Propulsion Systems","Advanced Aerodynamics, Rocket Propulsion Systems"
1746,Male,24,Civil Engineering,"Basics of Electrical and Electronics Engineering, Engineering Mechanics","Basics of Electrical and Electronics Engineering, Engineering Mechanics","Concrete Technology, Basics of Structural Analysis","Concrete Technology, Basics of Structural Analysis","Smart Transportation Systems, Advanced Highway Engineering","Smart Transportation Systems, Advanced Highway Engineering"
1747,Female,21,Aerospace Engineering,"Environmental Science and Sustainability, Introduction to Data Science",Unknown,"Basics of Computational Fluid Dynamics (CFD), Satellite Communication Systems","Basics of Computational Fluid Dynamics (CFD), Satellite Communication Systems","Orbital Mechanics, Spacecraft Avionics","Orbital Mechanics, Spacecraft Avionics"
1748,Unknown,24,Mechanical Engineering,Unknown,"Engineering Mathematics, Introduction to Python Programming","Thermodynamics Basics, Finite Element Analysis (FEA)","Thermodynamics Basics, Finite Element Analysis (FEA)","Energy Systems Engineering, Advanced Manufacturing Techniques","Energy Systems Engineering, Advanced Manufacturing Techniques"
1749,Unknown,19,Biotechnology/Biomedical Engineering,Unknown,"Soft Skills for Engineers, Engineering Mechanics","Healthcare Data Analytics, Healthcare Data Analytics","Healthcare Data Analytics, Healthcare Data Analytics","Biomaterials and Nanotechnology, Advanced Tissue Engineering","Biomaterials and Nanotechnology, Advanced Tissue Engineering"
1750,Female,20,Civil Engineering,"Environmental Science and Sustainability, Soft Skills for Engineers","Environmental Science and Sustainability, Soft Skills for Engineers","Water Resource Management, Introduction to BIM (Building Information Modeling)","Water Resource Management, Introduction to BIM (Building Information Modeling)","Smart Cities and Urban Planning, Sustainable Construction","Smart Cities and Urban Planning, Sustainable Construction"
1751,Unknown,20,Mechanical Engineering,Unknown,"Engineering Mechanics, Environmental Science and Sustainability","Thermodynamics Basics, 3D Modeling with SolidWorks","Thermodynamics Basics, 3D Modeling with SolidWorks","Wind and Solar Energy Engineering, Optimization in Mechanical Design","Wind and Solar Energy Engineering, Optimization in Mechanical Design"
1752,Female,23,Electrical Engineering,"Environmental Science and Sustainability, Introduction to Data Science","Environmental Science and Sustainability, Introduction to Data Science","Circuit Theory Basics, Circuit Theory Basics","Circuit Theory Basics, Circuit Theory Basics","IoT Applications in Electrical Engineering, Renewable Energy Integration","IoT Applications in Electrical Engineering, Renewable Energy Integration"
1754,Male,23,Chemical Engineering,Unknown,"Introduction to Computer-Aided Design (CAD), Introduction to Computer-Aided Design (CAD)","Industrial Safety and Hazard Management, Energy Management in Process Industries","Industrial Safety and Hazard Management, Energy Management in Process Industries","Biochemical Engineering, Biochemical Engineering","Biochemical Engineering, Biochemical Engineering"
1755,Female,21,Electrical Engineering,"Engineering Mathematics, Environmental Science and Sustainability","Engineering Mathematics, Environmental Science and Sustainability","Electrical Machines and Drives, Control Systems Fundamentals","Electrical Machines and Drives, Control Systems Fundamentals","Advanced Power Systems, Renewable Energy Integration","Advanced Power Systems, Renewable Energy Integration"
1756,Unknown,20,Mechanical Engineering,"Soft Skills for Engineers, Introduction to Data Science","Soft Skills for Engineers, Introduction to Data Science","Thermodynamics Basics, Thermodynamics Basics","Thermodynamics Basics, Thermodynamics Basics","Advanced Manufacturing Techniques, HVAC Systems Design","Advanced Manufacturing Techniques, HVAC Systems Design"
1757,Female,20,Chemical Engineering,"Environmental Science and Sustainability, Engineering Mechanics","Environmental Science and Sustainability, Engineering Mechanics","Process Engineering Fundamentals, Energy Management in Process Industries","Process Engineering Fundamentals, Energy Management in Process Industries","Process Optimization and Simulation, Nanotechnology in Chemical Engineering","Process Optimization and Simulation, Nanotechnology in Chemical Engineering"
1758,Male,20,Aerospace Engineering,"Engineering Mathematics, Introduction to Python Programming",Unknown,"Basics of Computational Fluid Dynamics (CFD), Introduction to Avionics","Basics of Computational Fluid Dynamics (CFD), Introduction to Avionics","UAV Technology, Satellite System Engineering","UAV Technology, Satellite System Engineering"
1759,Female,19,Computer Science and Engineering (CSE),"Environmental Science and Sustainability, Soft Skills for Engineers","Environmental Science and Sustainability, Soft Skills for Engineers","Database Management Systems, Web Development with HTML, CSS, and JavaScript","Database Management Systems, Web Development with HTML, CSS, and JavaScript","Cloud Architect Essentials, Cybersecurity and Ethical Hacking","Cloud Architect Essentials, Cybersecurity and Ethical Hacking"
1760,Male,24,Electronics and Communication Engineering (ECE),"Basics of Electrical and Electronics Engineering, Basics of Electrical and Electronics Engineering","Basics of Electrical and Electronics Engineering, Basics of Electrical and Electronics Engineering","Introduction to IoT, Embedded Systems Basics","Introduction to IoT, Embedded Systems Basics","Advanced VLSI Design, Embedded System Design with ARM Cortex","Advanced VLSI Design, Embedded System Design with ARM Cortex"
1761,Female,21,Aerospace Engineering,"Engineering Mathematics, Introduction to Computer-Aided Design (CAD)","Engineering Mathematics, Introduction to Computer-Aided Design (CAD)","Basics of Computational Fluid Dynamics (CFD), Flight Mechanics","Basics of Computational Fluid Dynamics (CFD), Flight Mechanics","Orbital Mechanics, Aircraft Structures Design","Orbital Mechanics, Aircraft Structures Design"
1762,Female,24,Biotechnology/Biomedical Engineering,Unknown,"Basics of Electrical and Electronics Engineering, Introduction to Data Science","Biomedical Instrumentation, Introduction to Molecular Biology","Biomedical Instrumentation, Introduction to Molecular Biology","Medical Devices and Diagnostics, Gene Editing with CRISPR","Medical Devices and Diagnostics, Gene Editing with CRISPR"
1763,Female,20,Unknown,"Introduction to Data Science, Engineering Mathematics","Introduction to Data Science, Engineering Mathematics","Transportation Engineering Basics, Transportation Engineering Basics","Transportation Engineering Basics, Transportation Engineering Basics","Geotechnical Engineering Advanced Concepts, Hydrology and Water Resource Engineering","Geotechnical Engineering Advanced Concepts, Hydrology and Water Resource Engineering"
1764,Male,25,Biotechnology/Biomedical Engineering,"Introduction to Python Programming, Introduction to Computer-Aided Design (CAD)","Introduction to Python Programming, Introduction to Computer-Aided Design (CAD)","Healthcare Data Analytics, Introduction to Genetic Engineering","Healthcare Data Analytics, Introduction to Genetic Engineering","Medical Devices and Diagnostics, Bioinformatics Applications in Genomics","Medical Devices and Diagnostics, Bioinformatics Applications in Genomics"
1765,Unknown,25,Electronics and Communication Engineering (ECE),"Soft Skills for Engineers, Introduction to Data Science","Soft Skills for Engineers, Introduction to Data Science","Signals and Systems, Embedded Systems Basics","Signals and Systems, Embedded Systems Basics","FPGA Programming, Radar Systems and Applications","FPGA Programming, Radar Systems and Applications"
1766,Female,21,Computer Science and Engineering (CSE),"Introduction to Computer-Aided Design (CAD), Engineering Mathematics","Introduction to Computer-Aided Design (CAD), Engineering Mathematics","Web Development with HTML, CSS, and JavaScript, Object-Oriented Programming with Java","Web Development with HTML, CSS, and JavaScript, Object-Oriented Programming with Java","DevOps Practices, Mobile App Development with Flutter","DevOps Practices, Mobile App Development with Flutter"
1767,Female,21,Electrical Engineering,Unknown,"Soft Skills for Engineers, Engineering Mathematics","Basics of Power Systems, Circuit Theory Basics","Basics of Power Systems, Circuit Theory Basics","Renewable Energy Integration, IoT Applications in Electrical Engineering","Renewable Energy Integration, IoT Applications in Electrical Engineering"
1768,Unknown,23,Civil Engineering,"Engineering Mechanics, Introduction to Computer-Aided Design (CAD)","Engineering Mechanics, Introduction to Computer-Aided Design (CAD)","Basics of Structural Analysis, Transportation Engineering Basics","Basics of Structural Analysis, Transportation Engineering Basics","Advanced BIM Techniques, Smart Transportation Systems","Advanced BIM Techniques, Smart Transportation Systems"
1769,Unknown,21,Mechanical Engineering,Unknown,"Engineering Mechanics, Introduction to Python Programming","3D Modeling with SolidWorks, Basics of Robotics","3D Modeling with SolidWorks, Basics of Robotics","Optimization in Mechanical Design, Optimization in Mechanical Design","Optimization in Mechanical Design, Optimization in Mechanical Design"
1770,Male,22,Electronics and Communication Engineering (ECE),Unknown,"Introduction to Data Science, Engineering Mathematics","Digital Circuits and Systems, Analog Electronics Fundamentals","Digital Circuits and Systems, Analog Electronics Fundamentals","Wireless Communication and 5G, FPGA Programming","Wireless Communication and 5G, FPGA Programming"
1771,Male,20,Electrical Engineering,"Basics of Electrical and Electronics Engineering, Introduction to Data Science","Basics of Electrical and Electronics Engineering, Introduction to Data Science","Circuit Theory Basics, Electrical Machines and Drives","Circuit Theory Basics, Electrical Machines and Drives","Power Electronics Design, Advanced Control Systems","Power Electronics Design, Advanced Control Systems"
1772,Male,20,Mechanical Engineering,"Engineering Mechanics, Engineering Mechanics","Engineering Mechanics, Engineering Mechanics","Basics of Robotics, Thermodynamics Basics","Basics of Robotics, Thermodynamics Basics","Optimization in Mechanical Design, Advanced Manufacturing Techniques","Optimization in Mechanical Design, Advanced Manufacturing Techniques"
1773,Male,24,Electrical Engineering,"Engineering Mechanics, Engineering Mechanics","Engineering Mechanics, Engineering Mechanics","Basics of Power Systems, Circuit Theory Basics","Basics of Power Systems, Circuit Theory Basics","IoT Applications in Electrical Engineering, Smart Grid Technology","IoT Applications in Electrical Engineering, Smart Grid Technology"
1774,Male,22,Civil Engineering,"Introduction to Python Programming, Basics of Electrical and Electronics Engineering","Introduction to Python Programming, Basics of Electrical and Electronics Engineering","Surveying and Geomatics, Basics of Structural Analysis","Surveying and Geomatics, Basics of Structural Analysis","Advanced Structural Engineering, Advanced Highway Engineering","Advanced Structural Engineering, Advanced Highway Engineering"
1775,Female,20,Civil Engineering,"Introduction to Python Programming, Engineering Mathematics","Introduction to Python Programming, Engineering Mathematics","Water Resource Management, Concrete Technology","Water Resource Management, Concrete Technology","Advanced Structural Engineering, Smart Cities and Urban Planning","Advanced Structural Engineering, Smart Cities and Urban Planning"
1776,Male,19,Electronics and Communication Engineering (ECE),"Introduction to Python Programming, Soft Skills for Engineers","Introduction to Python Programming, Soft Skills for Engineers","Signals and Systems, Microprocessors and Microcontrollers","Signals and Systems, Microprocessors and Microcontrollers","FPGA Programming, Digital Image Processing","FPGA Programming, Digital Image Processing"
1777,Female,25,Mechanical Engineering,"Soft Skills for Engineers, Introduction to Python Programming","Soft Skills for Engineers, Introduction to Python Programming","Fluid Mechanics, Thermodynamics Basics","Fluid Mechanics, Thermodynamics Basics","Introduction to Mechatronics, HVAC Systems Design","Introduction to Mechatronics, HVAC Systems Design"
1778,Female,19,Electrical Engineering,"Engineering Mathematics, Basics of Electrical and Electronics Engineering","Engineering Mathematics, Basics of Electrical and Electronics Engineering","Control Systems Fundamentals, Control Systems Fundamentals","Control Systems Fundamentals, Control Systems Fundamentals","Advanced Power Systems, High Voltage Engineering","Advanced Power Systems, High Voltage Engineering"
1779,Male,24,Mechanical Engineering,Unknown,"Introduction to Data Science, Basics of Electrical and Electronics Engineering","Introduction to Additive Manufacturing (3D Printing), Strength of Materials","Introduction to Additive Manufacturing (3D Printing), Strength of Materials","Introduction to Mechatronics, Automobile Dynamics","Introduction to Mechatronics, Automobile Dynamics"
1780,Male,23,Computer Science and Engineering (CSE),Unknown,"Environmental Science and Sustainability, Introduction to Data Science","Database Management Systems, Introduction to Machine Learning","Database Management Systems, Introduction to Machine Learning","Cloud Architect Essentials, Mobile App Development with Flutter","Cloud Architect Essentials, Mobile App Development with Flutter"
1781,Female,25,Unknown,"Soft Skills for Engineers, Engineering Mechanics","Soft Skills for Engineers, Engineering Mechanics","Water Resource Management, Basics of Structural Analysis","Water Resource Management, Basics of Structural Analysis","Hydrology and Water Resource Engineering, Geotechnical Engineering Advanced Concepts","Hydrology and Water Resource Engineering, Geotechnical Engineering Advanced Concepts"
1782,Female,20,Unknown,"Engineering Mathematics, Basics of Electrical and Electronics Engineering","Engineering Mathematics, Basics of Electrical and Electronics Engineering","Microprocessors and Microcontrollers, Embedded Systems Basics","Microprocessors and Microcontrollers, Embedded Systems Basics","Network-on-Chip Architecture, Advanced VLSI Design","Network-on-Chip Architecture, Advanced VLSI Design"
1783,Male,21,Mechanical Engineering,"Introduction to Data Science, Environmental Science and Sustainability","Introduction to Data Science, Environmental Science and Sustainability","Thermodynamics Basics, 3D Modeling with SolidWorks","Thermodynamics Basics, 3D Modeling with SolidWorks","Robotics and Automation Engineering, HVAC Systems Design","Robotics and Automation Engineering, HVAC Systems Design"
1784,Female,20,Electrical Engineering,"Soft Skills for Engineers, Introduction to Python Programming","Soft Skills for Engineers, Introduction to Python Programming","Control Systems Fundamentals, Control Systems Fundamentals","Control Systems Fundamentals, Control Systems Fundamentals","IoT Applications in Electrical Engineering, Advanced Power Systems","IoT Applications in Electrical Engineering, Advanced Power Systems"
1785,Male,24,Electronics and Communication Engineering (ECE),"Introduction to Python Programming, Engineering Mathematics","Introduction to Python Programming, Engineering Mathematics","Embedded Systems Basics, Basics of Communication Systems","Embedded Systems Basics, Basics of Communication Systems","Radar Systems and Applications, Embedded System Design with ARM Cortex","Radar Systems and Applications, Embedded System Design with ARM Cortex"
1786,Female,23,Mechanical Engineering,"Introduction to Computer-Aided Design (CAD), Introduction to Data Science","Introduction to Computer-Aided Design (CAD), Introduction to Data Science","Thermodynamics Basics, Strength of Materials","Thermodynamics Basics, Strength of Materials","Wind and Solar Energy Engineering, Optimization in Mechanical Design","Wind and Solar Energy Engineering, Optimization in Mechanical Design"
1787,Female,23,Biotechnology/Biomedical Engineering,"Engineering Mathematics, Engineering Mechanics","Engineering Mathematics, Engineering Mechanics","Healthcare Data Analytics, Basics of Bioprocess Engineering","Healthcare Data Analytics, Basics of Bioprocess Engineering","Bioinformatics Applications in Genomics, Drug Delivery Systems","Bioinformatics Applications in Genomics, Drug Delivery Systems"
1789,Female,24,Aerospace Engineering,"Engineering Mathematics, Introduction to Computer-Aided Design (CAD)","Engineering Mathematics, Introduction to Computer-Aided Design (CAD)","Introduction to Aerospace Structures, Satellite Communication Systems","Introduction to Aerospace Structures, Satellite Communication Systems","Advanced Aerodynamics, Spacecraft Avionics","Advanced Aerodynamics, Spacecraft Avionics"
1790,Female,20,Electronics and Communication Engineering (ECE),Unknown,"Introduction to Data Science, Environmental Science and Sustainability","MATLAB Programming for Engineers, Introduction to IoT","MATLAB Programming for Engineers, Introduction to IoT","IoT System Design, Digital Image Processing","IoT System Design, Digital Image Processing"
1791,Female,21,Civil Engineering,"Engineering Mathematics, Environmental Science and Sustainability","Engineering Mathematics, Environmental Science and Sustainability","Surveying and Geomatics, Transportation Engineering Basics","Surveying and Geomatics, Transportation Engineering Basics","Advanced Structural Engineering, Sustainable Construction","Advanced Structural Engineering, Sustainable Construction"
1792,Female,23,Biotechnology/Biomedical Engineering,"Engineering Mechanics, Engineering Mechanics","Engineering Mechanics, Engineering Mechanics","Introduction to Tissue Engineering, Introduction to Genetic Engineering","Introduction to Tissue Engineering, Introduction to Genetic Engineering","Biostatistics for Biomedical Research, Biomaterials and Nanotechnology","Biostatistics for Biomedical Research, Biomaterials and Nanotechnology"
1793,Unknown,23,Electrical Engineering,"Basics of Electrical and Electronics Engineering, Introduction to Computer-Aided Design (CAD)","Basics of Electrical and Electronics Engineering, Introduction to Computer-Aided Design (CAD)","IoT for Electrical Engineers, Circuit Theory Basics","IoT for Electrical Engineers, Circuit Theory Basics","Advanced Power Systems, Advanced Power Systems","Advanced Power Systems, Advanced Power Systems"
1794,Male,25,Unknown,"Environmental Science and Sustainability, Introduction to Computer-Aided Design (CAD)","Environmental Science and Sustainability, Introduction to Computer-Aided Design (CAD)","Mass Transfer Basics, Energy Management in Process Industries","Mass Transfer Basics, Energy Management in Process Industries","Chemical Plant Safety Management, Nanotechnology in Chemical Engineering","Chemical Plant Safety Management, Nanotechnology in Chemical Engineering"
1795,Unknown,20,Chemical Engineering,"Introduction to Python Programming, Introduction to Python Programming","Introduction to Python Programming, Introduction to Python Programming","Energy Management in Process Industries, Industrial Safety and Hazard Management","Energy Management in Process Industries, Industrial Safety and Hazard Management","Catalysis in Chemical Engineering, Process Optimization and Simulation","Catalysis in Chemical Engineering, Process Optimization and Simulation"
1796,Female,25,Computer Science and Engineering (CSE),Unknown,"Environmental Science and Sustainability, Introduction to Computer-Aided Design (CAD)","Data Structures and Algorithms, Introduction to Cloud Computing","Data Structures and Algorithms, Introduction to Cloud Computing","Deep Learning with TensorFlow, Deep Learning with TensorFlow","Deep Learning with TensorFlow, Deep Learning with TensorFlow"
1797,Male,23,Aerospace Engineering,"Basics of Electrical and Electronics Engineering, Introduction to Computer-Aided Design (CAD)","Basics of Electrical and Electronics Engineering, Introduction to Computer-Aided Design (CAD)","Propulsion Systems, Space Mission Design","Propulsion Systems, Space Mission Design","UAV Technology, Rocket Propulsion Systems","UAV Technology, Rocket Propulsion Systems"
1798,Male,24,Aerospace Engineering,"Engineering Mechanics, Introduction to Data Science","Engineering Mechanics, Introduction to Data Science","Basics of Aerodynamics, Basics of Computational Fluid Dynamics (CFD)","Basics of Aerodynamics, Basics of Computational Fluid Dynamics (CFD)","Rocket Propulsion Systems, Rocket Propulsion Systems","Rocket Propulsion Systems, Rocket Propulsion Systems"
1799,Unknown,20,Mechanical Engineering,"Introduction to Python Programming, Engineering Mathematics","Introduction to Python Programming, Engineering Mathematics","Thermodynamics Basics, Basics of Robotics","Thermodynamics Basics, Basics of Robotics","HVAC Systems Design, Robotics and Automation Engineering","HVAC Systems Design, Robotics and Automation Engineering"
1800,Female,23,Biotechnology/Biomedical Engineering,"Engineering Mechanics, Introduction to Computer-Aided Design (CAD)",Unknown,"Bioinformatics for Beginners, Introduction to Molecular Biology","Bioinformatics for Beginners, Introduction to Molecular Biology","Bioinformatics Applications in Genomics, Advanced Tissue Engineering","Bioinformatics Applications in Genomics, Advanced Tissue Engineering"
1801,Male,23,Aerospace Engineering,"Basics of Electrical and Electronics Engineering, Engineering Mathematics","Basics of Electrical and Electronics Engineering, Engineering Mathematics","Space Mission Design, Space Mission Design","Space Mission Design, Space Mission Design","Spacecraft Avionics, Advanced Aerodynamics","Spacecraft Avionics, Advanced Aerodynamics"
1802,Female,21,Aerospace Engineering,"Environmental Science and Sustainability, Introduction to Data Science","Environmental Science and Sustainability, Introduction to Data Science","Introduction to Avionics, Introduction to Aerospace Structures","Introduction to Avionics, Introduction to Aerospace Structures","Orbital Mechanics, UAV Technology","Orbital Mechanics, UAV Technology"
1803,Male,19,Mechanical Engineering,"Introduction to Data Science, Introduction to Python Programming","Introduction to Data Science, Introduction to Python Programming","Kinematics of Machines, Fluid Mechanics","Kinematics of Machines, Fluid Mechanics","Optimization in Mechanical Design, Introduction to Mechatronics","Optimization in Mechanical Design, Introduction to Mechatronics"
1804,Female,24,Biotechnology/Biomedical Engineering,"Introduction to Data Science, Introduction to Computer-Aided Design (CAD)","Introduction to Data Science, Introduction to Computer-Aided Design (CAD)","Bioinformatics for Beginners, Introduction to Tissue Engineering","Bioinformatics for Beginners, Introduction to Tissue Engineering","Biomaterials and Nanotechnology, Gene Editing with CRISPR","Biomaterials and Nanotechnology, Gene Editing with CRISPR"
1805,Male,21,Electrical Engineering,"Engineering Mathematics, Introduction to Python Programming",Unknown,"IoT for Electrical Engineers, Basics of Power Systems","IoT for Electrical Engineers, Basics of Power Systems","Advanced Power Systems, Advanced Power Systems","Advanced Power Systems, Advanced Power Systems"
1806,Female,22,Mechanical Engineering,"Soft Skills for Engineers, Introduction to Data Science","Soft Skills for Engineers, Introduction to Data Science","Introduction to Additive Manufacturing (3D Printing), Finite Element Analysis (FEA)","Introduction to Additive Manufacturing (3D Printing), Finite Element Analysis (FEA)","Introduction to Mechatronics, Automobile Dynamics","Introduction to Mechatronics, Automobile Dynamics"
